tarih,istasyon,sicaklik_ort_c,bagil_nem_ort_yuzde,yagis_toplam_mm,basinc_ort_hpa,ruzgar_u_ort_ms,ruzgar_v_ort_ms,ruzgar_hizi_ort_ms,saat_sayisi
2024-05-28,alanya,18.820292,72.38366,1.0009240359067917,948.1324,0.102772236,0.51541775,1.4754891,24
2024-05-29,alanya,18.874338,79.875114,2.280622720718384,949.4598,0.106105804,0.61220807,1.1948456,24
2024-05-30,alanya,17.880066,78.890755,1.4870583545416594,949.8315,0.3108139,0.44723284,1.385313,24
2024-05-31,alanya,18.450104,77.89243,0.21085143089294434,952.8089,0.78249425,-0.06923866,1.5326835,24
2024-06-01,alanya,20.573221,74.2483,0.01677274667599704,955.6313,0.6166261,-0.11106491,1.6464424,24
2024-06-02,alanya,23.022583,65.90952,0.0,953.4592,0.4114348,-0.19289207,1.7089225,24
2024-06-03,alanya,25.28299,55.530537,0.0017195934560731985,950.53876,-0.13870303,-0.37104097,1.7202325,24
2024-06-04,alanya,26.246735,53.654903,0.0,948.8475,-0.2683108,-0.49209785,2.0233977,24
2024-06-05,alanya,27.817535,48.39922,1.4219582080841064,948.15607,-0.62385917,-0.54404896,1.9699634,24
2024-06-06,alanya,28.368979,45.067448,0.0,948.44574,-0.80070263,-0.7634824,1.9147754,24
2024-06-07,alanya,27.858377,45.957203,1.515916036339604,948.1635,-0.09083494,-1.2746168,2.2044017,24
2024-06-08,alanya,26.343628,49.934185,2.34338641166687,944.7928,-0.03866132,-0.5891285,1.8947262,24
2024-06-09,alanya,25.292074,54.68219,0.0,944.1902,-0.46460596,-0.44145966,1.9939762,24
2024-06-10,alanya,25.1185,51.360058,0.000852346317969932,947.35645,-0.058832806,-0.24747129,2.0131888,24
2024-06-11,alanya,25.21992,57.748188,0.0008523463748133508,948.7258,0.05357361,0.16692972,1.7908062,24
2024-06-12,alanya,26.885681,59.56011,0.0017132691141341638,950.0197,0.09991328,0.0296729,1.6291103,24
2024-06-13,alanya,28.177145,56.01857,0.000852346317969932,950.73883,0.07671547,-0.41628134,1.7564931,24
2024-06-14,alanya,29.171875,50.12553,0.2930426374518902,948.6223,-0.39017233,-0.34743395,2.0631676,24
2024-06-15,alanya,27.717417,51.008648,0.0012785349099431187,943.7762,-0.20467441,0.9123414,1.6521912,24
2024-06-16,alanya,25.266287,67.19839,0.0017106531231547706,945.0537,-0.13571484,0.6696198,1.7506012,24
2024-06-17,alanya,25.40325,74.75147,0.5212753894738853,947.99677,0.5708594,0.5341504,1.4255582,24
2024-06-18,alanya,25.943909,71.556435,0.008930032890930306,948.8054,0.62556916,0.32750574,1.4671229,24
2024-06-19,alanya,26.444702,65.1186,0.0,947.9187,0.4125576,0.15121524,1.5901431,24
2024-06-20,alanya,26.594309,64.27415,0.0,947.13324,0.43020377,0.15626018,1.5584356,24
2024-06-21,alanya,26.401785,64.55518,1.1518895159383646,945.31537,0.23109226,0.49671745,1.3585213,24
2024-06-22,alanya,25.740519,68.92687,6.303461268544197,942.44354,0.22344069,0.64982873,1.3240722,24
2024-06-23,alanya,26.229807,67.664604,0.0,942.1141,0.34958586,0.32959667,1.4696378,24
2024-06-24,alanya,25.996511,67.29003,0.0004410743486005231,944.60126,0.3619728,0.32299092,1.6372976,24
2024-06-25,alanya,26.71235,70.76047,0.0012516975402832031,945.15875,0.75191814,0.28102013,1.4874868,24
2024-06-26,alanya,27.473764,67.52291,0.7547348968728329,944.2518,0.20417087,0.18300013,1.580691,24
2024-06-27,alanya,27.131327,64.98932,0.015154480934143066,944.9024,0.19182777,0.2759571,1.7147446,24
2024-06-28,alanya,26.897543,64.90855,0.20298025629017502,943.1264,0.15603955,0.45156097,1.5846978,24
2024-06-29,alanya,25.758871,67.89394,4.813939624000341,940.52216,-0.0848554,0.60491467,1.3507586,24
2024-06-30,alanya,26.565186,46.69676,0.0012891123333247378,942.5131,-0.31700453,-0.24609332,1.8964702,24
2024-07-01,alanya,26.837534,47.072433,1.979060471057892e-06,943.1516,-0.22432835,-0.60522676,1.6954722,24
2024-07-02,alanya,26.862326,49.83076,0.000852346317969932,942.1302,0.04982376,-0.056237657,1.8472238,24
2024-07-03,alanya,26.404245,55.09788,0.026285648345947266,942.18335,-0.16386795,1.1690477,1.7984146,24
2024-07-04,alanya,24.311981,69.764496,0.33171818358823657,944.3659,0.19818878,1.5692221,1.7543887,24
2024-07-05,alanya,23.528036,73.055504,2.640507882460952,945.6424,0.95105934,0.47771585,1.3886572,24
2024-07-06,alanya,26.962973,54.66154,0.0021571058823610656,943.75555,0.0503877,-0.08425633,1.3677691,24
2024-07-07,alanya,28.344248,48.82726,0.0,942.7015,-0.7121174,-0.68637824,1.4202367,24
2024-07-08,alanya,28.588114,50.84416,0.0,942.4507,-0.37329355,-0.17654042,1.8434014,24
2024-07-09,alanya,28.279877,58.85332,3.480160236335905,943.0975,-0.41682115,0.33320192,1.651348,24
2024-07-10,alanya,27.368612,66.71708,2.4409592151641846,944.9666,0.15958977,0.19674599,1.5786966,24
2024-07-11,alanya,27.022196,66.62357,0.6703317048959434,946.94,0.35963914,0.5267868,1.5554575,24
2024-07-12,alanya,26.841806,64.89466,0.0008583068620282575,946.2649,0.6900336,0.3249806,1.6342888,24
2024-07-13,alanya,26.399567,67.747154,0.6487369537353516,943.81055,0.751517,0.5863295,1.4090171,24
2024-07-14,alanya,27.125732,69.472466,9.822214022278786,942.1867,0.834507,0.07160199,1.1760635,24
2024-07-15,alanya,27.262613,67.68086,0.07101893424987793,942.0573,0.105900444,0.17808454,1.5227685,24
2024-07-16,alanya,27.023245,70.61479,0.7550597219960764,943.8769,0.349795,0.26027656,1.499373,24
2024-07-17,alanya,27.174765,70.7261,0.0020563602447509766,945.3741,0.5917937,0.26583633,1.6155553,24
2024-07-18,alanya,27.663645,70.17702,0.009673834028944839,945.3006,0.43590736,-0.011192759,1.6074721,24
2024-07-19,alanya,29.24176,58.81361,0.0021398063836386427,942.8355,-0.25916353,-0.10845121,1.3630501,24
2024-07-20,alanya,29.426077,46.839092,0.0008595657732257678,941.7945,-0.5245431,-0.5964481,1.8755931,24
2024-07-21,alanya,28.502045,54.30339,0.002580881073299679,943.81146,-0.25565657,0.22854976,1.8447837,24
2024-07-22,alanya,28.12626,64.25256,0.000852346317969932,944.26764,0.14319737,0.28543565,1.5059047,24
2024-07-23,alanya,28.339874,74.66794,0.028520822525024414,944.2221,0.28769112,0.49518105,1.4131268,24
2024-07-24,alanya,27.86144,75.850266,0.009912252608046401,941.57697,0.38384566,0.6038087,1.3998599,24
2024-07-25,alanya,26.440725,81.24541,3.3450245382482535,939.8504,0.31397438,0.8792136,1.2547987,24
2024-07-26,alanya,26.236868,79.52346,3.7030577659606934,940.5035,1.1737919,0.21152027,1.3815109,24
2024-07-27,alanya,27.55538,57.355442,0.0,945.001,-0.14710426,-0.065049015,1.8607258,24
2024-07-28,alanya,27.790762,49.479473,0.0008583068620282575,948.1369,-0.4211,-0.6340396,1.6977473,24
2024-07-29,alanya,28.523855,46.751038,0.0021427867977763526,944.81805,-0.0559241,-0.42574397,2.1200356,24
2024-07-30,alanya,27.246511,59.63112,0.0008523463748133508,941.3559,0.12305959,0.22807086,1.6727062,24
2024-07-31,alanya,27.815125,52.4153,0.000852346317969932,943.47876,-0.47509256,0.0700353,1.9374884,24
2024-08-01,alanya,27.721222,53.446274,0.0021312280296115205,944.9112,0.16434605,0.22415797,1.8151375,24
2024-08-02,alanya,27.326487,57.970463,0.001716613724056515,944.2612,0.5232493,0.35530916,1.7289553,24
2024-08-03,alanya,26.803812,71.1775,0.027437561584520154,943.21466,0.59002304,0.7523086,1.4639939,24
